X,CH1,
Second,Volt,
-1.58000e-01,2.40e-03,
-1.57980e-01,4.00e-03,
-1.57960e-01,4.80e-03,
-1.57940e-01,4.00e-03,
-1.57920e-01,3.20e-03,
-1.57900e-01,4.80e-03,
-1.57880e-01,-1.60e-03,
-1.57860e-01,2.40e-03,
-1.57840e-01,2.40e-03,
-1.57820e-01,4.00e-03,
-1.57800e-01,2.40e-03,
-1.57780e-01,4.00e-03,
-1.57760e-01,4.00e-03,
-1.57740e-01,4.80e-03,
-1.57720e-01,4.00e-03,
-1.57700e-01,3.20e-03,
-1.57680e-01,2.40e-03,
-1.57660e-01,3.20e-03,
-1.57640e-01,4.00e-03,
-1.57620e-01,3.20e-03,
-1.57600e-01,3.20e-03,
-1.57580e-01,4.00e-03,
-1.57560e-01,5.60e-03,
-1.57540e-01,4.00e-03,
-1.57520e-01,4.80e-03,
-1.57500e-01,3.20e-03,
-1.57480e-01,5.60e-03,
-1.57460e-01,4.00e-03,
-1.57440e-01,4.00e-03,
-1.57420e-01,6.40e-03,
-1.57400e-01,4.00e-03,
-1.57380e-01,3.20e-03,
-1.57360e-01,4.00e-03,
-1.57340e-01,4.00e-03,
-1.57320e-01,2.40e-03,
-1.57300e-01,4.00e-03,
-1.57280e-01,1.60e-03,
-1.57260e-01,4.00e-03,
-1.57240e-01,1.36e-02,
-1.57220e-01,7.20e-03,
-1.57200e-01,4.80e-03,
-1.57180e-01,6.40e-03,
-1.57160e-01,7.20e-03,
-1.57140e-01,5.60e-03,
-1.57120e-01,5.60e-03,
-1.57100e-01,6.40e-03,
-1.57080e-01,6.40e-03,
-1.57060e-01,1.60e-03,
-1.57040e-01,6.40e-03,
-1.57020e-01,5.60e-03,
-1.57000e-01,6.40e-03,
-1.56980e-01,5.60e-03,
-1.56960e-01,4.00e-03,
-1.56940e-01,4.00e-03,
-1.56920e-01,2.40e-03,
-1.56900e-01,4.00e-03,
-1.56880e-01,8.00e-03,
-1.56860e-01,4.00e-03,
-1.56840e-01,2.40e-03,
-1.56820e-01,3.20e-03,
-1.56800e-01,2.40e-03,
-1.56780e-01,2.40e-03,
-1.56760e-01,2.40e-03,
-1.56740e-01,4.00e-03,
-1.56720e-01,3.20e-03,
-1.56700e-01,2.40e-03,
-1.56680e-01,3.20e-03,
-1.56660e-01,4.00e-03,
-1.56640e-01,6.40e-03,
-1.56620e-01,5.60e-03,
-1.56600e-01,4.00e-03,
-1.56580e-01,4.00e-03,
-1.56560e-01,6.40e-03,
-1.56540e-01,4.00e-03,
-1.56520e-01,4.00e-03,
-1.56500e-01,4.80e-03,
-1.56480e-01,4.00e-03,
-1.56460e-01,8.80e-03,
-1.56440e-01,4.80e-03,
-1.56420e-01,6.40e-03,
-1.56400e-01,5.60e-03,
-1.56380e-01,6.40e-03,
-1.56360e-01,4.00e-03,
-1.56340e-01,4.80e-03,
-1.56320e-01,4.00e-03,
-1.56300e-01,4.00e-03,
-1.56280e-01,1.60e-03,
-1.56260e-01,6.40e-03,
-1.56240e-01,2.40e-03,
-1.56220e-01,2.40e-03,
-1.56200e-01,7.20e-03,
-1.56180e-01,3.20e-03,
-1.56160e-01,2.40e-03,
-1.56140e-01,4.00e-03,
-1.56120e-01,2.40e-03,
-1.56100e-01,3.20e-03,
-1.56080e-01,2.40e-03,
-1.56060e-01,1.60e-03,
-1.56040e-01,4.00e-03,
-1.56020e-01,2.40e-03,
-1.56000e-01,2.40e-03,
-1.55980e-01,1.60e-03,
-1.55960e-01,4.80e-03,
-1.55940e-01,1.60e-03,
-1.55920e-01,3.20e-03,
-1.55900e-01,4.00e-03,
-1.55880e-01,3.20e-03,
-1.55860e-01,2.40e-03,
-1.55840e-01,3.20e-03,
-1.55820e-01,2.40e-03,
-1.55800e-01,3.20e-03,
-1.55780e-01,2.40e-03,
-1.55760e-01,3.20e-03,
-1.55740e-01,1.60e-03,
-1.55720e-01,2.40e-03,
-1.55700e-01,8.00e-04,
-1.55680e-01,3.20e-03,
-1.55660e-01,3.20e-03,
-1.55640e-01,3.20e-03,
-1.55620e-01,-1.60e-03,
-1.55600e-01,2.40e-03,
-1.55580e-01,1.60e-03,
-1.55560e-01,3.20e-03,
-1.55540e-01,2.40e-03,
-1.55520e-01,8.00e-04,
-1.55500e-01,3.20e-03,
-1.55480e-01,2.40e-03,
-1.55460e-01,3.20e-03,
-1.55440e-01,1.60e-03,
-1.55420e-01,1.60e-03,
-1.55400e-01,1.60e-03,
-1.55380e-01,2.40e-03,
-1.55360e-01,8.00e-04,
-1.55340e-01,2.40e-03,
-1.55320e-01,-8.00e-04,
-1.55300e-01,8.00e-04,
-1.55280e-01,2.40e-03,
-1.55260e-01,2.40e-03,
-1.55240e-01,8.00e-04,
-1.55220e-01,3.20e-03,
-1.55200e-01,3.20e-03,
-1.55180e-01,2.40e-03,
-1.55160e-01,4.00e-03,
-1.55140e-01,4.00e-03,
-1.55120e-01,2.40e-03,
-1.55100e-01,2.40e-03,
-1.55080e-01,1.60e-03,
-1.55060e-01,3.20e-03,
-1.55040e-01,2.40e-03,
-1.55020e-01,8.00e-03,
-1.55000e-01,4.00e-03,
-1.54980e-01,4.00e-03,
-1.54960e-01,2.40e-03,
-1.54940e-01,2.40e-03,
-1.54920e-01,2.40e-03,
-1.54900e-01,3.20e-03,
-1.54880e-01,3.20e-03,
-1.54860e-01,8.00e-04,
-1.54840e-01,2.40e-03,
-1.54820e-01,3.20e-03,
-1.54800e-01,4.00e-03,
-1.54780e-01,4.00e-03,
-1.54760e-01,4.00e-03,
-1.54740e-01,2.40e-03,
-1.54720e-01,2.40e-03,
-1.54700e-01,3.20e-03,
-1.54680e-01,4.80e-03,
-1.54660e-01,4.00e-03,
-1.54640e-01,2.40e-03,
-1.54620e-01,2.40e-03,
-1.54600e-01,3.20e-03,
-1.54580e-01,2.40e-03,
-1.54560e-01,2.40e-03,
-1.54540e-01,2.40e-03,
-1.54520e-01,1.60e-03,
-1.54500e-01,4.00e-03,
-1.54480e-01,1.60e-03,
-1.54460e-01,8.00e-04,
-1.54440e-01,-8.00e-04,
-1.54420e-01,2.40e-03,
-1.54400e-01,2.40e-03,
-1.54380e-01,2.40e-03,
-1.54360e-01,3.20e-03,
-1.54340e-01,2.40e-03,
-1.54320e-01,4.00e-03,
-1.54300e-01,4.00e-03,
-1.54280e-01,3.20e-03,
-1.54260e-01,4.00e-03,
-1.54240e-01,4.00e-03,
-1.54220e-01,3.20e-03,
-1.54200e-01,1.60e-03,
-1.54180e-01,4.00e-03,
-1.54160e-01,5.60e-03,
-1.54140e-01,4.00e-03,
-1.54120e-01,3.20e-03,
-1.54100e-01,8.00e-04,
-1.54080e-01,-8.00e-04,
-1.54060e-01,2.40e-03,
-1.54040e-01,2.40e-03,
-1.54020e-01,4.00e-03,
-1.54000e-01,3.20e-03,
-1.53980e-01,2.40e-03,
-1.53960e-01,1.60e-03,
-1.53940e-01,2.40e-03,
-1.53920e-01,8.00e-04,
-1.53900e-01,1.60e-03,
-1.53880e-01,1.60e-03,
-1.53860e-01,-8.00e-04,
-1.53840e-01,1.60e-03,
-1.53820e-01,1.60e-03,
-1.53800e-01,8.00e-04,
-1.53780e-01,8.00e-04,
-1.53760e-01,-2.40e-03,
-1.53740e-01,8.00e-04,
-1.53720e-01,1.60e-03,
-1.53700e-01,8.00e-04,
