X,CH1,
Second,Volt,
-3.05080e-04,-1.60e-03,
-3.05040e-04,8.00e-04,
-3.05000e-04,-8.00e-04,
-3.04960e-04,-1.60e-03,
-3.04920e-04,8.00e-04,
-3.04880e-04,-8.00e-04,
-3.04840e-04,-1.60e-03,
-3.04800e-04,-1.60e-03,
-3.04760e-04,-1.60e-03,
-3.04720e-04,-1.60e-03,
-3.04680e-04,-1.60e-03,
-3.04640e-04,-1.60e-03,
-3.04600e-04,-3.20e-03,
-3.04560e-04,-2.40e-03,
-3.04520e-04,-2.40e-03,
-3.04480e-04,-1.60e-03,
-3.04440e-04,-1.60e-03,
-3.04400e-04,-3.20e-03,
-3.04360e-04,-4.00e-03,
-3.04320e-04,-8.00e-04,
-3.04280e-04,-3.20e-03,
-3.04240e-04,-2.40e-03,
-3.04200e-04,-2.40e-03,
-3.04160e-04,-1.60e-03,
-3.04120e-04,-1.60e-03,
-3.04080e-04,-2.40e-03,
-3.04040e-04,-3.20e-03,
-3.04000e-04,-3.20e-03,
-3.03960e-04,-3.20e-03,
-3.03920e-04,-3.20e-03,
-3.03880e-04,-1.60e-03,
-3.03840e-04,-3.20e-03,
-3.03800e-04,-3.20e-03,
-3.03760e-04,-3.20e-03,
-3.03720e-04,-2.40e-03,
-3.03680e-04,-1.60e-03,
-3.03640e-04,-1.60e-03,
-3.03600e-04,-2.40e-03,
-3.03560e-04,-3.20e-03,
-3.03520e-04,-3.20e-03,
-3.03480e-04,-2.40e-03,
-3.03440e-04,-2.40e-03,
-3.03400e-04,-3.20e-03,
-3.03360e-04,-1.60e-03,
-3.03320e-04,-8.00e-04,
-3.03280e-04,-1.60e-03,
-3.03240e-04,-7.20e-03,
-3.03200e-04,-6.40e-03,
-3.03160e-04,8.00e-04,
-3.03120e-04,6.40e-03,
-3.03080e-04,1.60e-03,
-3.03040e-04,-4.00e-03,
-3.03000e-04,-3.20e-03,
-3.02960e-04,1.60e-03,
-3.02920e-04,2.40e-03,
-3.02880e-04,-1.60e-03,
-3.02840e-04,-1.60e-03,
-3.02800e-04,-8.00e-04,
-3.02760e-04,2.40e-03,
-3.02720e-04,-1.60e-03,
-3.02680e-04,8.00e-04,
-3.02640e-04,-1.60e-03,
-3.02600e-04,2.40e-03,
-3.02560e-04,2.40e-03,
-3.02520e-04,-8.00e-04,
-3.02480e-04,-1.60e-03,
-3.02440e-04,8.00e-04,
-3.02400e-04,2.40e-03,
-3.02360e-04,3.20e-03,
-3.02320e-04,-8.00e-04,
-3.02280e-04,2.40e-03,
-3.02240e-04,4.80e-03,
-3.02200e-04,2.40e-03,
-3.02160e-04,3.20e-03,
-3.02120e-04,3.20e-03,
-3.02080e-04,3.20e-03,
-3.02040e-04,3.20e-03,
-3.02000e-04,8.00e-04,
-3.01960e-04,-8.00e-04,
-3.01920e-04,4.80e-03,
-3.01880e-04,7.20e-03,
-3.01840e-04,3.20e-03,
-3.01800e-04,2.40e-03,
-3.01760e-04,2.40e-03,
-3.01720e-04,4.00e-03,
-3.01680e-04,4.00e-03,
-3.01640e-04,3.20e-03,
-3.01600e-04,4.00e-03,
-3.01560e-04,4.00e-03,
-3.01520e-04,4.80e-03,
-3.01480e-04,4.00e-03,
-3.01440e-04,3.20e-03,
-3.01400e-04,4.00e-03,
-3.01360e-04,4.00e-03,
-3.01320e-04,5.60e-03,
-3.01280e-04,4.00e-03,
-3.01240e-04,4.00e-03,
-3.01200e-04,5.60e-03,
-3.01160e-04,5.60e-03,
-3.01120e-04,4.00e-03,
-3.01080e-04,2.40e-03,
-3.01040e-04,4.80e-03,
-3.01000e-04,5.60e-03,
-3.00960e-04,4.00e-03,
-3.00920e-04,4.00e-03,
-3.00880e-04,3.20e-03,
-3.00840e-04,4.00e-03,
-3.00800e-04,4.80e-03,
-3.00760e-04,4.00e-03,
-3.00720e-04,4.00e-03,
-3.00680e-04,4.00e-03,
-3.00640e-04,4.80e-03,
-3.00600e-04,4.00e-03,
-3.00560e-04,4.00e-03,
-3.00520e-04,2.40e-03,
-3.00480e-04,3.20e-03,
-3.00440e-04,4.00e-03,
-3.00400e-04,4.00e-03,
-3.00360e-04,4.00e-03,
-3.00320e-04,4.00e-03,
-3.00280e-04,4.00e-03,
-3.00240e-04,4.80e-03,
-3.00200e-04,3.20e-03,
-3.00160e-04,4.00e-03,
-3.00120e-04,2.40e-03,
-3.00080e-04,2.40e-03,
-3.00040e-04,2.40e-03,
-3.00000e-04,4.80e-03,
-2.99960e-04,4.00e-03,
-2.99920e-04,3.20e-03,
-2.99880e-04,2.40e-03,
-2.99840e-04,2.40e-03,
-2.99800e-04,3.20e-03,
-2.99760e-04,4.00e-03,
-2.99720e-04,3.20e-03,
-2.99680e-04,2.40e-03,
-2.99640e-04,8.00e-04,
-2.99600e-04,8.00e-04,
-2.99560e-04,2.40e-03,
-2.99520e-04,2.40e-03,
-2.99480e-04,2.40e-03,
-2.99440e-04,8.00e-04,
-2.99400e-04,-8.00e-04,
-2.99360e-04,8.00e-04,
-2.99320e-04,2.40e-03,
-2.99280e-04,4.00e-03,
-2.99240e-04,4.00e-03,
-2.99200e-04,2.40e-03,
-2.99160e-04,2.40e-03,
-2.99120e-04,2.40e-03,
-2.99080e-04,-8.00e-04,
-2.99040e-04,8.00e-04,
-2.99000e-04,-1.60e-03,
-2.98960e-04,-1.60e-03,
-2.98920e-04,8.00e-04,
-2.98880e-04,2.40e-03,
-2.98840e-04,3.20e-03,
-2.98800e-04,1.60e-03,
-2.98760e-04,2.40e-03,
-2.98720e-04,2.40e-03,
-2.98680e-04,2.40e-03,
-2.98640e-04,2.40e-03,
-2.98600e-04,1.60e-03,
-2.98560e-04,2.40e-03,
-2.98520e-04,2.40e-03,
-2.98480e-04,2.40e-03,
-2.98440e-04,1.60e-03,
-2.98400e-04,8.00e-04,
-2.98360e-04,8.00e-04,
-2.98320e-04,8.00e-04,
-2.98280e-04,8.00e-04,
-2.98240e-04,1.60e-03,
-2.98200e-04,8.00e-04,
-2.98160e-04,8.00e-04,
-2.98120e-04,8.00e-04,
-2.98080e-04,8.00e-04,
-2.98040e-04,1.60e-03,
-2.98000e-04,1.60e-03,
-2.97960e-04,8.00e-04,
-2.97920e-04,1.60e-03,
-2.97880e-04,8.00e-04,
-2.97840e-04,8.00e-04,
-2.97800e-04,1.60e-03,
-2.97760e-04,8.00e-04,
-2.97720e-04,1.60e-03,
-2.97680e-04,8.00e-04,
-2.97640e-04,1.60e-03,
-2.97600e-04,1.60e-03,
-2.97560e-04,3.20e-03,
-2.97520e-04,8.00e-04,
-2.97480e-04,-6.40e-03,
-2.97440e-04,-4.80e-03,
-2.97400e-04,4.00e-03,
-2.97360e-04,7.20e-03,
-2.97320e-04,-8.00e-04,
-2.97280e-04,-1.60e-03,
-2.97240e-04,-1.60e-03,
-2.97200e-04,1.60e-03,
-2.97160e-04,2.40e-03,
-2.97120e-04,8.00e-04,
-2.97080e-04,-1.60e-03,
-2.97040e-04,8.00e-04,
-2.97000e-04,4.00e-03,
-2.96960e-04,-1.60e-03,
-2.96920e-04,8.00e-04,
-2.96880e-04,8.00e-04,
-2.96840e-04,1.60e-03,
-2.96800e-04,1.60e-03,
-2.96760e-04,-1.60e-03,
-2.96720e-04,8.00e-04,
-2.96680e-04,3.20e-03,
-2.96640e-04,2.40e-03,
-2.96600e-04,-1.60e-03,
-2.96560e-04,-3.20e-03,
-2.96520e-04,2.40e-03,
-2.96480e-04,4.80e-03,
-2.96440e-04,3.20e-03,
-2.96400e-04,8.00e-04,
-2.96360e-04,-8.00e-04,
-2.96320e-04,3.20e-03,
-2.96280e-04,1.60e-03,
-2.96240e-04,-1.60e-03,
-2.96200e-04,-1.60e-03,
-2.96160e-04,8.00e-04,
-2.96120e-04,8.00e-04,
-2.96080e-04,8.00e-04,
-2.96040e-04,-1.60e-03,
-2.96000e-04,8.00e-04,
-2.95960e-04,2.40e-03,
-2.95920e-04,8.00e-04,
-2.95880e-04,-8.00e-04,
-2.95840e-04,8.00e-04,
-2.95800e-04,8.00e-04,
-2.95760e-04,-8.00e-04,
-2.95720e-04,-1.60e-03,
-2.95680e-04,1.60e-03,
